CLIENT_IP,CLIENT_CITY,CLIENT_REGION,CLIENT_COUNTRY,ISP,CLIENT_LATITUDE,CLIENT_LONGITUDE,TEST_DATE,SERVER_NAME,DOWNLOAD_KBPS,UPLOAD_KBPS,LATENCY,CLIENT_BROWSER,CLIENT_OPERATING_SYSTEM,USER_AGENT
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:10:52 GMT",Turin,2309,73,48,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
79.41.*.*,Bruino,12,Italy,"Telecom Italia",45.0151,7.4775,"1/1/2016 16:11:56 GMT",Turin,1154,396,47,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
79.31.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:13:20 GMT",Turin,6994,400,41,"Chrome 47.0.2526.106","Windows Vista","Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
94.125.*.*,Rubiana,12,Italy,"PSA S.r.l.",45.1333,7.3833,"1/1/2016 16:13:42 GMT",Turin,1015,51,92,"Firefox 43.0","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:43.0) Gecko/20100101 Firefox/43.0"
79.30.*.*,Rivoli,12,Italy,"Telecom Italia",45.0621,7.5277,"1/1/2016 16:13:50 GMT",Turin,5966,365,26,"Safari 5.1.7","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"
93.38.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:14:55 GMT",Turin,49021,10087,22,"Chrome 47.0.2526.106","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
87.9.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:15:08 GMT",Turin,48265,10298,17,"Internet Explorer 11.0","Windows ","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko"
79.45.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:17:11 GMT",Turin,10495,748,30,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
5.198.*.*,Saluzzo,12,Italy,"ISI LINE S.r.l.",44.65,7.4833,"1/1/2016 16:17:57 GMT",Turin,1967,2087,74,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
195.32.*.*,Cocconato,12,Italy,"Officine Informatiche Srl",45.0864,8.0402,"1/1/2016 16:18:25 GMT",Turin,3801,906,22,"Internet Explorer 11.0","Windows ","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; ASU2JS; rv:11.0) like Gecko"
87.15.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:18:27 GMT",Turin,18812,887,37,"Firefox 43.0","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:43.0) Gecko/20100101 Firefox/43.0"
79.31.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:18:48 GMT",Turin,73351,20550,30,"Safari 9.0.2","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
95.233.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:19:12 GMT",Turin,29192,2951,12,"Firefox 42.0","Windows ","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0"
93.47.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:24:00 GMT",Turin,2614,369,40,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
79.54.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:24:00 GMT",Turin,20971,13805,32,"Firefox 42.0","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:42.0) Gecko/20100101 Firefox/42.0"
93.49.*.*,Turin,12,Italy,Fastweb,45.0705,7.6868,"1/1/2016 16:25:04 GMT",Turin,898,134,163,"Firefox 43.0","Windows ","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
94.125.*.*,Rubiana,12,Italy,"PSA S.r.l.",45.1333,7.3833,"1/1/2016 16:27:17 GMT",Turin,1378,51,137,"Firefox 43.0","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:43.0) Gecko/20100101 Firefox/43.0"
178.255.*.*,Cravanzana,12,Italy,"PSA S.r.l.",44.5833,8.1333,"1/1/2016 16:28:16 GMT",Turin,1910,359,39,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
178.255.*.*,Cravanzana,12,Italy,"PSA S.r.l.",44.5833,8.1333,"1/1/2016 16:29:30 GMT",Turin,3729,855,36,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
2.36.*.*,Almese,12,Italy,"Vodafone Italia DSL",45.1167,7.3833,"1/1/2016 16:29:32 GMT",Turin,2111,489,78,"Firefox 40.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0"
79.40.*.*,Turin,12,Italy,"Telecom Italia",45.0705,7.6868,"1/1/2016 16:31:51 GMT",Turin,11890,19088,16,"Firefox 43.0","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:33:54 GMT",Turin,17139,854,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.32.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:34:23 GMT",Turin,8333,560,28,"Chrome 47.0.2526.106","Mac OS X","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
151.33.*.*,Turin,12,Italy,"Wind Telecomunicazioni",45.0705,7.6868,"1/1/2016 16:34:37 GMT",Turin,15644,877,19,"Chrome 47.0.2526.106","Windows 7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
